,model_name,actions,x_pos,y_pos,q0,q1,q2
490,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,419,1,43.95574,27.48627,15.527522
491,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,420,1,34.584793,25.363338,7.1574454
492,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,421,1,38.327835,19.241365,21.882729
493,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,422,1,38.820206,18.327728,32.937714
494,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,423,1,41.108418,23.433182,22.856361
495,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,424,1,26.193626,16.070839,20.849579
496,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,425,1,28.376339,27.074959,25.383587
497,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,425,2,26.972498,30.760862,20.084553
498,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,426,2,42.74575,17.789667,24.341736
499,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,427,2,45.80528,24.410566,15.630717
500,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,428,2,41.631683,22.348036,-45.875893
501,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,429,2,47.088753,17.04994,22.43261
502,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,430,2,42.80567,13.359305,20.654486
503,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,431,2,47.866776,15.508644,20.18721
504,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,432,2,32.45934,11.190876,-11.266365
505,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,433,2,31.789328,11.988538,20.928335
506,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,434,2,33.95365,14.189006,31.979456
507,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,434,1,-32.847977,12.557249,32.040115
508,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,435,1,33.629234,14.446005,32.50204
509,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,435,0,21.040617,-8.436739,28.09637
510,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,436,0,42.023018,26.118736,20.11754
511,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,437,0,41.151703,23.322403,16.252045
512,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,438,0,39.773495,26.905336,12.230376
513,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,439,0,39.733166,27.167908,12.712026
514,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,440,0,39.989662,20.051239,14.352674
515,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,441,0,40.141403,14.099646,5.66081
516,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,442,0,39.47959,19.12334,13.249425
517,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,443,0,39.431103,22.774294,18.912144
518,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,444,0,42.621143,-4.461147,6.1421847
519,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,445,0,42.529305,25.015419,17.475838
520,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,446,0,41.567547,25.942282,14.15878
