participant,index,condition_1,condition_2,model_type,resolution,rating,trial_duration,n_collisions,standardized_rating,standardized_trial_duration,standardized_n_collisions
HC21,76,CE2,simple,Canny,324.0,6.5,49.685,0.5,0.049360624668727364,-0.11414392724138957,-0.2238906959818522
HC22,77,CE2,simple,Canny,324.0,6.0,19.884999999999998,0.0,-0.04134883848149785,-0.29789427827820636,-0.499312714451762
HC23,78,CE2,simple,Canny,324.0,4.5,43.26,2.0,-0.7200661599189107,0.8511380729534875,0.4402286787185006
HC24,79,CE2,simple,Canny,324.0,3.5,42.14,0.5,-0.7256418590044614,0.21232899908919758,0.03982831174232289
HC04,80,CE3,complex,Canny,676.0,4.5,29.159999999999997,0.5,-0.21004201260420147,-0.5697011829014967,-0.2843883310154694
HC05,81,CE3,complex,Canny,676.0,6.0,26.455,0.0,0.04570565807419305,-0.4045102533967739,-0.5620224837470443
HC06,82,CE3,complex,Canny,676.0,6.0,33.035,1.0,0.22830230436724055,-0.06898505932739178,0.09585183097149477
HC07,83,CE3,complex,Canny,676.0,3.0,31.525,2.0,-0.5947628668425304,0.8255981547634483,0.3425035571490791
HC08,84,CE3,complex,Canny,676.0,5.5,36.254999999999995,1.5,0.0767868896042439,0.6409245729048662,0.22720705435185495
HC09,85,CE3,complex,Canny,676.0,6.5,26.095,2.5,-0.06771777842755455,0.10089372856855358,1.0135858276593792
HC11,86,CE3,complex,Canny,676.0,5.0,30.615000000000002,4.0,-0.6989410452272491,0.9077619183680562,1.6671626246204108
HC12,87,CE3,complex,Canny,676.0,5.5,48.43,1.5,-0.1276884796138123,0.21527087794896108,0.11676634983483974
HC13,88,CE3,complex,Canny,676.0,5.5,22.245,1.5,-0.3521476061368819,0.6608316664317205,0.5073610689019095
HC14,89,CE3,complex,Canny,676.0,6.5,27.975,1.5,0.05274371156633068,0.43235758567408306,0.26627685093627235
HC15,90,CE3,complex,Canny,676.0,7.0,42.14,0.5,-0.39816253329859624,-0.18779938902373594,-0.17226339602028284
HC16,91,CE3,complex,Canny,676.0,5.0,25.28,0.0,-0.06562807638818524,-0.6466053572589576,-0.8159007924950823
