participant,index,condition_1,condition_2,model_type,resolution,rating,trial_duration,n_collisions,standardized_rating,standardized_trial_duration,standardized_n_collisions
HC17,92,CE3,complex,Canny,676.0,7.0,34.14,1.0,-0.013554167679840738,0.09292190661248957,0.07721980009364027
HC18,93,CE3,complex,Canny,676.0,7.0,31.395,0.5,0.7649694018358776,-0.1685138013515109,-0.03051201596376074
HC19,94,CE3,complex,Canny,676.0,4.5,39.125,2.0,0.2269603247508009,0.613456403092185,0.3560530713944421
HC20,95,CE3,complex,Canny,676.0,4.0,36.325,1.5,-0.4937386558969173,0.1252333387068508,0.5642513500888945
HC21,96,CE3,complex,Canny,676.0,5.0,58.12,1.0,-0.7404093700309105,0.40115510003735055,0.10176849817356919
HC22,97,CE3,complex,Canny,676.0,6.5,19.035,0.0,0.17917830008649066,-0.3938526436165198,-0.499312714451762
HC23,98,CE3,complex,Canny,676.0,6.5,37.215,0.5,0.1494476935680758,0.0642706057764541,-0.47850943338967455
HC24,99,CE3,complex,Canny,676.0,5.0,33.11,0.0,0.39793263235728527,-0.45682344476307096,-0.5974246761348433
HC04,100,CE3,simple,Canny,676.0,3.5,33.385000000000005,0.5,-0.6301260378126045,0.16581829693313363,-0.2843883310154694
HC05,101,CE3,simple,Canny,676.0,6.0,29.975,0.5,0.04570565807419305,-0.10713370371257724,-0.20232809414893596
HC06,102,CE3,simple,Canny,676.0,6.0,30.935000000000002,0.0,0.22830230436724055,-0.2796073213356003,-0.5175998872460718
HC07,103,CE3,simple,Canny,676.0,3.5,23.345,0.5,-0.3507575881379026,-0.3324158469023986,-0.4047769311761844
HC08,104,CE3,simple,Canny,676.0,6.0,31.545,1.0,0.3839344480212195,0.15970432966375153,-0.1767165978292205
HC09,105,CE3,simple,Canny,676.0,6.5,28.880000000000003,0.0,-0.06771777842755455,0.459841796034802,-0.6412481766824645
HC11,106,CE3,simple,Canny,676.0,6.0,24.145,1.0,0.12943352689393503,-0.19422006684990026,-0.2846375212766555
HC12,107,CE3,simple,Canny,676.0,6.5,43.9,0.5,0.38306543884143684,-0.16626312947837013,-0.6305382891081347
HC13,108,CE3,simple,Canny,676.0,6.0,19.135,0.0,-0.07042952122737638,0.02120934156024822,-0.8456017815031824
HC14,109,CE3,simple,Canny,676.0,6.5,25.25,0.5,0.05274371156633068,0.08294533849354524,-0.44379475156045395
HC15,110,CE3,simple,Canny,676.0,7.5,43.375,0.0,0.30968197034335265,-0.1270990385353247,-0.47850943338967455
HC16,111,CE3,simple,Canny,676.0,5.0,28.42,0.5,-0.06562807638818524,-0.24925408640469746,-0.43194747837974945
HC17,112,CE3,simple,Canny,676.0,8.0,29.39,0.5,0.4201791980750629,-0.36744738299306406,-0.33461913373910784
HC18,113,CE3,simple,Canny,676.0,5.5,34.025,0.5,-0.3149874007559496,0.1888084844066945,-0.03051201596376074
HC19,114,CE3,simple,Canny,676.0,4.5,31.785,0.5,0.2269603247508009,-0.6659667895760137,-0.5934217856574036
HC20,115,CE3,simple,Canny,676.0,6.0,29.455,0.5,0.40909774345744576,-0.6019535915972698,-0.3860667132187173
HC21,116,CE3,simple,Canny,676.0,7.0,51.16,0.0,0.3126172895686066,-0.02403532436810691,-0.5495498901372736
HC22,117,CE3,simple,Canny,676.0,6.0,19.235,0.0,-0.04134883848149785,-0.37127420471338723,-0.499312714451762
HC23,118,CE3,simple,Canny,676.0,7.0,32.06,0.5,0.3668261569398224,-0.6067470606085934,-0.47850943338967455
HC24,119,CE3,simple,Canny,676.0,4.5,32.754999999999995,0.5,0.02340780190336972,-0.4831301023010065,0.03982831174232289
HC04,120,CE4,complex,Canny,1156.0,8.0,27.28,0.0,1.260252075625209,-0.8969855904965497,-0.6344047384191239
HC05,121,CE4,complex,Canny,1156.0,7.0,22.945,0.0,0.5332326775322522,-0.7010419833375491,-0.5620224837470443
HC06,122,CE4,complex,Canny,1156.0,7.0,29.045,0.0,0.7153472203506871,-0.4691673571429885,-0.5175998872460718
HC07,123,CE4,complex,Canny,1156.0,5.5,22.55,0.0,0.6252635266806089,-0.44496121747994705,-0.6538704272846056
HC08,124,CE4,complex,Canny,1156.0,6.5,20.14,0.5,0.6910820064381951,-1.005543414320308,-0.580640250010296
HC09,125,CE4,complex,Canny,1156.0,8.5,23.795,0.5,0.7990697854451437,-0.19554453181649822,-0.3102813758140957
HC11,126,CE4,complex,Canny,1156.0,6.0,28.52,2.5,0.12943352689393503,0.5509377670494131,0.6912625516718777
HC12,127,CE4,complex,Canny,1156.0,7.5,34.849999999999994,0.0,0.893819357296686,-0.9284889059060408,-1.004190608579622
HC13,128,CE4,complex,Canny,1156.0,7.5,15.884999999999998,1.5,0.7747247335011401,-0.6472062712475614,0.5073610689019095
HC14,129,CE4,complex,Canny,1156.0,8.5,21.35,0.5,0.8966430966276216,-0.41713090517768275,-0.44379475156045395
HC15,130,CE4,complex,Canny,1156.0,8.0,32.099999999999994,0.0,1.0175264739853016,-0.681266205949768,-0.47850943338967455
HC16,131,CE4,complex,Canny,1156.0,6.5,24.619999999999997,0.5,0.9844211458227786,-0.7301250511327835,-0.43194747837974945
HC17,132,CE4,complex,Canny,1156.0,9.5,24.765,0.0,1.0707792467074184,-0.8157016912932085,-0.746458067571856
HC18,133,CE4,complex,Canny,1156.0,7.0,27.36,0.5,0.7649694018358776,-0.7167249888170467,-0.03051201596376074
HC19,134,CE4,complex,Canny,1156.0,4.5,36.980000000000004,1.0,0.2269603247508009,0.23956502049364528,-0.27693016664012166
HC20,135,CE4,complex,Canny,1156.0,7.0,26.009999999999998,0.0,0.8605159431346273,-0.96660555300887,-0.8612257448725231
HC21,136,CE4,complex,Canny,1156.0,7.0,45.12,0.0,0.3126172895686066,-0.39302241681192335,-0.5495498901372736
HC22,137,CE4,complex,Canny,1156.0,8.0,17.355,0.0,0.8407597157904562,-0.5835115304028339,-0.499312714451762
HC23,138,CE4,complex,Canny,1156.0,5.5,39.78,4.0,-0.2853092331754174,0.3981523350252698,1.6652128281960674
HC24,139,CE4,complex,Canny,1156.0,6.0,29.305,0.0,1.1469822932651164,-0.7387863516133347,-0.5974246761348433
HC04,140,CE4,simple,Canny,1156.0,6.0,30.16,0.0,0.42008402520840293,-0.3956137320530632,-0.6344047384191239
HC05,141,CE4,simple,Canny,1156.0,7.0,27.455,0.0,0.5332326775322522,-0.3200282790546726,-0.5620224837470443
HC06,142,CE4,simple,Canny,1156.0,7.0,26.85,0.0,0.7153472203506871,-0.6893177690991881,-0.5175998872460718
HC07,143,CE4,simple,Canny,1156.0,4.5,23.905,0.5,0.1372529692713532,-0.25313860473456523,-0.4047769311761844
HC08,144,CE4,simple,Canny,1156.0,7.0,22.55,0.0,0.9982295648551707,-0.7593139480334528,-0.9845639021913715
